bar,flips,dflips,pass,mismatch,starved
1611,33028,56,1429,0,1909
1612,33049,21,1431,0,1910
1613,33105,56,1431,0,1918
1614,33119,14,1432,0,1919
1615,33175,56,1432,0,1927
1616,33189,14,1433,0,1928
1617,33196,7,1434,0,1928
1618,33238,42,1436,0,1931
1619,33259,21,1438,0,1932
1620,33308,49,1438,0,1939
1621,33329,21,1440,0,1940
1622,33385,56,1440,0,1948
1623,33399,14,1441,0,1949
1624,33455,56,1441,0,1957
1625,33476,21,1443,0,1958
1626,33532,56,1443,0,1966
1627,33546,14,1444,0,1967
1628,33602,56,1444,0,1975
1629,33623,21,1446,0,1976
1630,33672,49,1446,0,1983
1631,33693,21,1448,0,1984
1632,33735,42,1448,0,1990
1633,33756,21,1450,0,1991
1634,33763,7,1450,0,1992
1635,33777,14,1451,0,1992
1636,33784,7,1451,0,1993
1637,33819,35,1454,0,1993
1638,33833,14,1455,0,1994
1639,33882,49,1455,0,2001
1640,33903,21,1457,0,2002
1641,33959,56,1457,0,2010
1642,33973,14,1458,0,2011
1643,34029,56,1458,0,2019
1644,34050,21,1460,0,2020
1645,34099,49,1460,0,2027
1646,34113,14,1461,0,2028
1647,34127,14,1462,0,2029
1648,34134,7,1463,0,2029
1649,34141,7,1463,0,2030
1650,34155,14,1464,0,2030
1651,34169,14,1465,0,2030
1652,34183,14,1466,0,2030
1653,34204,21,1467,0,2031
1654,34246,42,1469,0,2035
1655,34267,21,1471,0,2036
1656,34316,49,1471,0,2043
1657,34330,14,1472,0,2044
1658,34393,63,1472,0,2053
1659,34407,14,1473,0,2054
1660,34414,7,1474,0,2054
1661,34456,42,1476,0,2057
1662,34477,21,1478,0,2058
1663,34526,49,1478,0,2065
1664,34547,21,1480,0,2066
1665,34603,56,1480,0,2074
1666,34617,14,1481,0,2075
1667,34673,56,1481,0,2083
1668,34694,21,1483,0,2084
1669,34743,49,1483,0,2091
1670,34764,21,1485,0,2092
1671,34820,56,1485,0,2100
1672,34834,14,1486,0,2101
1673,34890,56,1486,0,2109
1674,34911,21,1488,0,2110
1675,34967,56,1488,0,2118
1676,34981,14,1489,0,2119
1677,35037,56,1489,0,2127
1678,35051,14,1490,0,2128
1679,35100,49,1490,0,2135
1680,35121,21,1492,0,2136
1681,35177,56,1492,0,2144
1682,35191,14,1493,0,2145
1683,35247,56,1493,0,2153
1684,35261,14,1494,0,2154
1685,35317,56,1494,0,2162
1686,35338,21,1496,0,2163
1687,35394,56,1496,0,2171
1688,35408,14,1497,0,2172
1689,35464,56,1497,0,2180
1690,35485,21,1499,0,2181
1691,35534,49,1499,0,2188
1692,35555,21,1501,0,2189
1693,35562,7,1502,0,2189
1694,35569,7,1502,0,2190
1695,35611,42,1505,0,2191
1696,35625,14,1506,0,2192
1697,35632,7,1507,0,2192
1698,35674,42,1510,0,2194
1699,35695,21,1512,0,2195
1700,35744,49,1512,0,2202
1701,35758,14,1513,0,2203
1702,35772,14,1514,0,2204
1703,35779,7,1515,0,2204
1704,35821,42,1517,0,2207
1705,35835,14,1518,0,2208
1706,35891,56,1518,0,2216
1707,35905,14,1519,0,2217
1708,35919,14,1520,0,2218
1709,35961,42,1522,0,2222
1710,35975,14,1523,0,2223
1711,35989,14,1524,0,2224
1712,35996,7,1525,0,2224
1713,36038,42,1528,0,2226
1714,36052,14,1529,0,2227
1715,36108,56,1529,0,2235
1716,36129,21,1531,0,2236
1717,36185,56,1531,0,2244
1718,36199,14,1532,0,2245
1719,36206,7,1533,0,2245
1720,36220,14,1534,0,2245
1721,36255,35,1537,0,2245
1722,36269,14,1538,0,2246
1723,36318,49,1538,0,2253
1724,36332,14,1539,0,2254
1725,36346,14,1540,0,2255
